fdc_id,expected_category,known_failure,description
2342293,OMNI,N,Oysters Rockefeller
172014,VEGAN,N,"Pasta, cooked, unenriched, with added salt"
174254,VEGAN,N,"Lima beans, large, mature seeds, canned"
168747,VEGAN,N,"Alcoholic beverage, beer, regular, BUDWEISER"
173697,OMNI,N,"Fish, shark, mixed species, raw"
2343443,VEGAN_OR_VEGETARIAN,N,"Cookie, raisin sandwich, cream-filled"
2342946,OMNI,N,"Luncheon slice, meatless-beef, chicken, salami or turkey"
2346253,VEGAN,N,Gin Rickey
2343345,VEGETARIAN,N,"Cake or cupcake, chocolate with white icing, from mix"
2342135,OMNI,N,"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
2346233,VEGAN,N,Whiskey and ginger ale
170887,VEGETARIAN,N,"Yogurt, plain, skim milk"
2344259,VEGETARIAN,N,"Manicotti, cheese-filled, no sauce"
169091,VEGAN,N,"Mango, dried, sweetened"
174120,VEGAN,N,"Beverages, tea, Oolong, brewed"
2343849,VEGAN,N,"Grits, regular or quick, made with water, no added fat"
2342173,OMNI,N,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
172539,OMNI,N,"Lamb, variety meats and by-products, pancreas, cooked, braised"
175296,OMNI,N,"Game meat, beefalo, composite of cuts, raw"
2345927,VEGAN,N,"Candy, fruit snacks"
168647,OMNI,N,"Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, select, raw"
2346226,VEGAN,N,Seven and Seven
170437,VEGAN,N,"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, oven-heated"
2341829,OMNI,N,Pork or ham with soy-based sauce
174572,OMNI,N,"Turkey breast, low salt, prepackaged or deli, luncheon meat"
2341792,OMNI,N,"Chili con carne with beans, canned"
173358,OMNI,N,"Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled"
174898,OMNI,N,"Lamb, Australian, imported, fresh, rib chop, frenched, denuded, bone-in, separable lean and fat, trimmed to 0"" fat, cooked, grilled"
2342656,VEGETARIAN,N,"Egg, deviled"
2344342,VEGETARIAN,N,"Pasta with cream sauce, ready-to-heat"
2344369,VEGAN,N,"Pasta, whole grain, with tomato-based sauce and added vegetables, ready-to-heat"
2343858,VEGAN,N,"Cornmeal mush, no added fat"
2346292,VEGETARIAN,N,"Nutritional drink or shake, ready-to-drink (Carnation Instant Breakfast)"
173372,OMNI,N,"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted"
175093,VEGAN,N,"Beverages, carbonated, cola, fast-food cola"
2343274,VEGAN,N,"Bread, rice"
169820,VEGAN,N,"Plums, wild (Northern Plains Indians)"
171108,OMNI,N,"Chicken, cornish game hens, meat only, raw"
2342506,OMNI,N,"Hot dog sandwich, beef, on wheat bun"
1099432,OMNI,N,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
1098175,OMNI,N,"Beef steak, fried, lean only eaten"
1099434,OMNI,N,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
1103059,OMNI,N,Potato and cheese soup
1099048,OMNI,N,"Whiting, baked or broiled, made with cooking spray"
1098973,OMNI,N,"Salmon, coated, fried, made with butter"
1098558,OMNI,N,"Chicken wing, baked, coated"
1099872,OMNI,N,"Chicken fillet sandwich, fried, on white bun"
1098273,OMNI,N,"Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten"
1099024,OMNI,N,"Trout, coated, fried, made with butter"
1098627,OMNI,N,"Turkey bacon, cooked"
1099485,OMNI,N,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
1102581,OMNI,N,"Macaroni, tomatoes, and beef, baby food, strained"
1099497,OMNI,N,"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
1098599,OMNI,N,"Turkey, light meat, roasted, skin not eaten"
1101303,OMNI,N,"Crackers, oyster"
1099820,OMNI,N,"Reuben sandwich, corned beef sandwich with sauerkraut and cheese, with spread"
1098078,OMNI,N,"Cheese, cottage cheese, with gelatin dessert and vegetables"
1098434,OMNI,N,"Chicken, NS as to part, grilled with sauce, skin eaten"
1100393,OMNI,N,Pinto beans with meat
1100139,OMNI,N,"Chicken or turkey soup, cream of, canned, reduced sodium, made with milk"
1100019,OMNI,N,"Frankfurter or hot dog sandwich, with meatless chili, on multigrain bun"
1099800,OMNI,N,"Hamburger, on wheat bun, 1 small patty"
1098436,OMNI,N,"Chicken, NS as to part, sauteed, skin eaten"
1098605,OMNI,N,"Turkey, light or dark meat, fried, coated, skin not eaten"
1102011,OMNI,N,"Pizza, with meat other than pepperoni, from school lunch, thin crust"
1099106,OMNI,N,"Clams, coated, baked or broiled, no added fat"
1102254,OMNI,N,"Pasta with cream sauce and poultry, ready-to-heat"
1098169,OMNI,N,"Beef steak, NS as to cooking method, lean only eaten"
1098354,OMNI,N,"Lamb, roast, cooked, NS as to fat eaten"
1099477,OMNI,N,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
1098331,OMNI,N,"Pork ears, tail, head, snout, miscellaneous parts, cooked"
1099865,OMNI,N,"Chicken fillet sandwich, from school cafeteria"
1103324,OMNI,N,"Tomato beef rice soup, prepared with water"
1099828,OMNI,N,"Roast beef submarine sandwich, on roll, au jus"
1100037,OMNI,N,"Chicken noodle dinner, baby food, junior"
1098466,OMNI,N,"Chicken breast, fried, coated, skin / coating not eaten, from pre-cooked"
1099725,OMNI,N,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
1098677,OMNI,N,"Frankfurter or hot dog, chicken"
173642,OMNI,N,"Chicken, stewing, giblets, cooked, simmered"
1102136,OMNI,N,"Lasagna with meat, from restaurant"
1099218,OMNI,N,"Chili con carne with beans, made with pork"
